[87 minutes ago] a7cc1f2  HOR-1986 <Paula V. Quispe>
[2 hours ago] ae05709  HOR-1989 <Julio Cesar Laura Avendaño>
[2 hours ago] 3b4b50d  HOR-1985 <Paula V. Quispe>
[8 hours ago] e7611f2  BY-525 Etiqueta erronea <Marco A. Nina Mena>
[9 hours ago] f06e287  HOR-1979 <Paula V. Quispe>
[26 hours ago] 9edba63  up observations <Ronald Q>
[27 hours ago] 62e0bb3  HOR-1977 <Ronald Q>
[2 days ago] fa207b6  HOR-1971-A "Separate PM_USERS permission to allow..." <Luis Fernando Saisa Lopez>
[2 days ago] 4285611  HOR-1963 <Paula V. Quispe>
[2 days ago] a8871f8  file not upload <Ronald Q>
[2 days ago] 03a5300  HOR-1964 <Ronald Q>
[3 days ago] 85f586a  HOR-1957 "Error al ejecutar el comando  workspace-backup" SOLVED <Victor Saisa Lopez>
[4 days ago] 7913e41  BY-517 No se pueden despausar  casos debido a un error en la clase 'wsBase' <Marco A. Nina Mena>
[4 days ago] 318b755  HOR-1946 El proceso de upgrade no se completa cuando se tienen valores incorrectos en el campo CON_ID <dheeyi william>
[5 days ago] f7574d9  BY-511 Al derivar de una tarea a otra con el mismo usuario se va a la lista participated <Dante>
[5 days ago] 2668004  BY-512 Al derivar un caso con un archivo realiza un set de permisos incremental a Drive <Marco A. Nina Mena>
[9 days ago] bce95ad  HOR-1925 <Paula V. Quispe>
[9 days ago] bb680cf  HOR-1932 <Paula V. Quispe>
[9 days ago] 510d47c  HOR-1907: Adding support for multiple table definitions by plugin. <Gustavo Adolfo Cruz Laura>
[9 days ago] 3aa1a9b  HOR-1817 "(WSSO) No se autentifica al usuario en ProcessMaker" SOLVED <Victor Saisa Lopez>
[9 days ago] 88fec1e  HOR-1922 "PMFAddInputDocument()..." <Luis Fernando Saisa Lopez>
[9 days ago] 4e08666  HOR-1924 The endpoint variables not working correctly, fail in case tracker module <dheeyi william>
[9 days ago] aa7a26f  HOR-1926 <Roly Rudy Gutierrez Pinto>
[9 days ago] 838f396  HOR-1895 <Paula V. Quispe>
[9 days ago] 14100b7  HOR-1908 <Roly Rudy Gutierrez Pinto>
[9 days ago] 0cbbcfc  HOR-1896 External_Registration> No esta derivando el archivo adjunto en File <dheeyi william>
[9 days ago] 938f812  fix in return value <Ronald Q>
[9 days ago] c70d494  HOR-1921 <Ronald Q>
[10 days ago] 9da8ef4  HOR-1919 <Roly Rudy Gutierrez Pinto>
[10 days ago] 41303bd  up observations <Ronald Q>
